
* Type;Library;Create Meta;Read Meta;Update Meta;Delete Meta;Create Content;Read Content;Update Content;Delete Content;Cache Content
local Directory;;✘;✔;✘;✘;✔;✔;✔;✔;
local File;;✘;✘;✘;✘;✔;✔;✔;✔;
URL;libxml2 nanohttp;✘;✔ HTTP Header;✘;✘;✘;✔;✘;✘;
UNC;;✘;✔;✘;✘;✔;✔;✔;✔;
;;;;;;;;;;
Image (JPEG EXIF);libexif Imagemagick;✘;✔;✘;✘;✘;[✔];[✔];[✔];[✔];[✔];[✔];;;
Ogg Vorbis;ogg;✘;✔;✘;✘;✘;✘;✘;✘;
MP3;libid3tag;✘;✔;✘;✘;✘;✘;✘;✘;
Sqlite;sqlite;✔;✔;✔;✔;✔;✔;✔;✔;
Plain Text;;✔;✔;✔;✔;✔;✔;✔;✔;
Markdown Text;libcmark;✔;✔;✔;✔;✔;✔;✔;✔;
HTML;;✔;✔;✔;✔;✔;✔;✔;✔;
ICS;;✔;✔;✔;✔;✔;✔;✔;✔;
VCF;;✔;✔;✔;✔;✔;✔;✔;✔;
XML Text;libxml2;✔;✔;✔;✔;✔;✔;✔;✔;
ZIP XML Text;libxml2 xmlzipio;✔;✔;✔;✘;✘;✔;✔;✘;
ZIP;zlib;✔;✔;✔;✔;✔;✔;✔;✘;
STL;admesh;✘;✔;✔;✘;✘;✔;✘;✘;
